Group,n,wt,
SurgOnly_NoTrt_80,713.0,1029.4463504129994,
ChemoOnly_80,3040.0,5045.354717047986,
RadOnly_80,816.0,1190.7393266470015,
ChemoRad_80,3962.0,6128.465644275955,
SurgOnly_NoTrt_90,1105.0,1641.362846758,
ChemoOnly_90,4064.0,9644.072109935007,
RadOnly_90,378.0,550.5494813900001,
ChemoRad_90,3192.0,5650.792327392966,
NoChemoRT_70,368.0,554.3959851010001,
AnyChemoRT_70,4998.0,7545.746595041973,
NoChemoRT_80,713.0,1029.4463504129994,
AnyChemoRT_80,7804.0,12340.931729095972,
NoChemoRT_90,1105.0,1641.362846758,
AnyChemoRT_90,7621.0,15811.77777780398,
NoChemo_70,1152.0,1755.2902036410028,
AnyChemo_70,4217.0,6349.6502789089745,
NoChemo_80,1525.0,2213.6171491790064,
AnyChemo_80,6994.0,11159.087083426082,
NoChemo_90,1479.0,2185.631644253004,
AnyChemo_90,7246.0,15266.322959319965,
NoRad_70,1333.0,2014.1865585319952,
AnyRad_70,4036.0,6090.711625615997,
NoRad_80,3749.0,6068.271097195967,
AnyRad_80,4774.0,7311.782654912964,
NoRad_90,5166.0,11279.80332166797,
AnyRad_90,3566.0,6195.674437007944,
noRecur,19494.0,33652.98410499457,
recur,3248.0,5523.450750178971,
noRecur_70,4500.0,6712.7297392109795,
recur_70,952.0,1518.5188895439974,
noRecur_80,7336.0,11466.510921347077,
recur_80,1268.0,2065.5530865370024,
noRecur_90,7711.0,15578.505322901994,
recur_90,1108.0,2101.4835928529997,
Age0-4_70,1942.0,2914.9658470119857,
Age5-9_70,1208.0,1845.2724857869969,
Age10-14_70,1135.0,1704.4702548979965,
Age15-20_70,1073.0,1622.3112949859994,
Age0-4_80,3602.0,5902.546215461957,
Age5-9_80,1817.0,2954.4297868820113,
Age10-14_80,1692.0,2477.6514507170095,
Age15-20_80,1398.0,2022.8152205570004,
Age0-4_90,3394.0,7873.713647408998,
Age5-9_90,1991.0,4394.315527275037,
Age10-14_90,1954.0,3121.6561619220047,
Age15-20_90,1379.0,2050.5374623660005,
Male_70,2760.0,4374.818377430029,
Female_70,2598.0,3712.2015052529987,
Male_80,4536.0,7387.093558480008,
Female_80,3973.0,5970.349115137913,
Male_90,4637.0,9759.405764824938,
Female_90,4081.0,7680.817034146964,
HL grp: Salvage,289.0,455.94088153800027,
HL grp: Extended,583.0,870.1931029579997,
HL grp: Chest RT>=35 plus chemo,288.0,424.964119738,
HL grp: Chest RT>=35 no chemo,223.0,322.0525938209998,
HL grp: Chest RT<35 plus chemo,784.0,1103.1072989740019,
HL grp: Chemo without chest RT,258.0,388.6653185109998,
HL grp: Other,378.0,559.7899353749998,
HL AHOD: Contemporary,260.0,372.1117022459998,
HL AHOD: High Chest RT,1254.0,1873.265973301003,
HL AHOD: Other,1258.0,1833.2176631299967,
HL grp 2: Salvage,289.0,455.94088153800027,
HL grp 2: Extended,583.0,870.1931029579997,
HL grp 2: Chest RT>=35,503.0,735.4746373629998,
HL grp 2: [empty],0.0,0.0,
HL grp 2: Chest RT<35 plus chemo,784.0,1103.1072989740019,
HL grp 2: Chemo without chest RT,258.0,388.6653185109998,
HL grp 2: Other,378.0,559.7899353749998,
HL AHOD2: Contemporary with RT,181.0,254.5600992519999,
HL AHOD2: Contemporary without RT,81.0,120.75049828899999,
HL AHOD2: High Chest RT,1254.0,1873.265973301003,
HL AHOD2: Other,1258.0,1833.2176631299967,
AnyRad_ALL,3105.0,5797.853990735971,
AnyRad_AML,299.0,423.72191026600024,
AnyRad_OtherLeukemia,172.0,261.14430921699994,
AnyRad_Astrocytoma,1070.0,1647.0460714730034,
AnyRad_Medulloblastoma,862.0,1333.7506859709993,
AnyRad_Other CNS,402.0,602.5050422850007,
AnyRad_HL,2392.0,3505.381558595979,
AnyRad_NHL,787.0,1152.657647567,
AnyRad_Kidney,1095.0,1578.2224208439964,
AnyRad_NBL,613.0,918.3365720449991,
AnyRad_STS,1011.0,1513.911560631997,
AnyRad_Ewings,452.0,680.9563866989992,
AnyRad_Osteosarcoma,94.0,150.12001083600006,
AnyRad_OtherBoneTumor,38.0,59.942556973,
ChemoOnly_ALL,2688.0,8252.997794701007,
ChemoOnly_AML,560.0,802.9420703550005,
ChemoOnly_OtherLeukemia,123.0,185.72269758700006,
ChemoOnly_Astrocytoma,264.0,404.751932491,
ChemoOnly_Medulloblastoma,57.0,89.96055031199998,
ChemoOnly_Other CNS,50.0,74.69859543200002,
ChemoOnly_HL,363.0,544.0270507339991,
ChemoOnly_NHL,1063.0,1543.9916672029985,
ChemoOnly_Kidney,860.0,1242.8226418959991,
ChemoOnly_NBL,559.0,806.8535578689986,
ChemoOnly_STS,341.0,513.2767531199995,
ChemoOnly_Ewings,209.0,315.399661628,
ChemoOnly_Osteosarcoma,930.0,1371.4875704509952,
ChemoOnly_OtherBoneTumor,23.0,33.529076022999995,
SurgOnly_NoTrt_ALL,4.0,9.210608799,
SurgOnly_NoTrt_AML,6.0,9.657704994,
SurgOnly_NoTrt_OtherLeukemia,6.0,9.381023236,
SurgOnly_NoTrt_Astrocytoma,1054.0,1561.2565574960026,
SurgOnly_NoTrt_Medulloblastoma,9.0,14.574034014999999,
SurgOnly_NoTrt_Other CNS,220.0,324.47747396700026,
SurgOnly_NoTrt_HL,7.0,12.336222452,
SurgOnly_NoTrt_NHL,17.0,24.801042969999997,
SurgOnly_NoTrt_Kidney,34.0,49.795923519000006,
SurgOnly_NoTrt_NBL,549.0,802.9196582359981,
SurgOnly_NoTrt_STS,169.0,247.22949979299995,
SurgOnly_NoTrt_Ewings,2.0,3.449251338,
SurgOnly_NoTrt_Osteosarcoma,86.0,123.92498139000003,
SurgOnly_NoTrt_OtherBoneTumor,30.0,44.015639474,
AnyRad_brain,2332.0,3579.160660083013,
AnyRad_bone,583.0,889.130904922999,
AnyRad_sts,1011.0,1513.911560631997,
AnyRad_solid,1706.0,2493.6769289220083,
AnyRad_leuk,3573.0,6477.938772695015,
AnyRad_lymp,3178.0,4655.293206130957,
ChemoOnly_brain,369.0,564.9531145410008,
ChemoOnly_bone,1162.0,1720.3770378419974,
ChemoOnly_sts,341.0,513.2767531199995,
ChemoOnly_solid,1418.0,2047.556428081995,
ChemoOnly_leuk,3367.0,9235.401018678016,
ChemoOnly_lymp,1424.0,2085.2452760379974,
SurgOnly_NoTrt_brain,1280.0,1894.9802043310046,
SurgOnly_NoTrt_bone,118.0,171.389872202,
SurgOnly_NoTrt_sts,169.0,247.22949979299995,
SurgOnly_NoTrt_solid,583.0,852.7155817549979,
SurgOnly_NoTrt_leuk,15.0,26.707137770999996,
SurgOnly_NoTrt_lymp,23.0,35.556584873,
AnyRad_ALL_70,1266.0,1839.2391957969962,
AnyRad_AML_70,52.0,75.97811326300001,
AnyRad_OtherLeukemia_70,36.0,55.533591809000015,
AnyRad_Astrocytoma_70,259.0,417.65651346299967,
AnyRad_Medulloblastoma_70,99.0,162.99566326200002,
AnyRad_Other CNS_70,57.0,89.00874906700001,
AnyRad_HL_70,866.0,1332.1719575169968,
AnyRad_NHL_70,320.0,477.15974311300073,
AnyRad_Kidney_70,318.0,474.1622107860001,
AnyRad_NBL_70,215.0,319.05772420599976,
AnyRad_STS_70,353.0,547.3178413740006,
AnyRad_Ewings_70,145.0,222.39548024599995,
AnyRad_Osteosarcoma_70,53.0,83.34187447099998,
AnyRad_OtherBoneTumor_70,4.0,5.754605501,
ChemoOnly_ALL_70,247.0,383.7240989750003,
ChemoOnly_AML_70,61.0,87.804568486,
ChemoOnly_OtherLeukemia_70,22.0,35.968560950999986,
ChemoOnly_Astrocytoma_70,5.0,10.770513969,
ChemoOnly_Medulloblastoma_70,0.0,0.0,
ChemoOnly_Other CNS_70,0.0,0.0,
ChemoOnly_HL_70,49.0,71.00351417000002,
ChemoOnly_NHL_70,74.0,113.88978504599999,
ChemoOnly_Kidney_70,96.0,143.40304258700004,
ChemoOnly_NBL_70,76.0,112.264609472,
ChemoOnly_STS_70,108.0,166.45948000599998,
ChemoOnly_Ewings_70,20.0,31.294530721999994,
ChemoOnly_Osteosarcoma_70,216.0,318.3169513770003,
ChemoOnly_OtherBoneTumor_70,2.0,2.848847021,
SurgOnly_NoTrt_ALL_70,1.0,1.547659512,
SurgOnly_NoTrt_AML_70,1.0,1.547659512,
SurgOnly_NoTrt_OtherLeukemia_70,4.0,6.409606865000001,
SurgOnly_NoTrt_Astrocytoma_70,119.0,181.65454310000004,
SurgOnly_NoTrt_Medulloblastoma_70,3.0,4.812007908,
SurgOnly_NoTrt_Other CNS_70,21.0,33.66762980400001,
SurgOnly_NoTrt_HL_70,3.0,4.460000744,
SurgOnly_NoTrt_NHL_70,4.0,6.292111866,
SurgOnly_NoTrt_Kidney_70,6.0,8.905234881,
SurgOnly_NoTrt_NBL_70,69.0,100.40912359300002,
SurgOnly_NoTrt_STS_70,97.0,145.65047043299998,
SurgOnly_NoTrt_Ewings_70,2.0,3.449251338,
SurgOnly_NoTrt_Osteosarcoma_70,31.0,46.12816297700002,
SurgOnly_NoTrt_OtherBoneTumor_70,13.0,19.325398321,
AnyRad_ALL_80,1360.0,2358.591744353,
AnyRad_AML_80,132.0,182.164591661,
AnyRad_OtherLeukemia_80,60.0,96.81267371799994,
AnyRad_Astrocytoma_80,462.0,702.0691960639995,
AnyRad_Medulloblastoma_80,294.0,444.66514668800005,
AnyRad_Other CNS_80,157.0,231.22371435700003,
AnyRad_HL_80,807.0,1147.691922063001,
AnyRad_NHL_80,346.0,495.191023802001,
AnyRad_Kidney_80,388.0,543.3346212680005,
AnyRad_NBL_80,177.0,253.8296080180003,
AnyRad_STS_80,393.0,570.5959878760001,
AnyRad_Ewings_80,174.0,251.73597129600014,
AnyRad_Osteosarcoma_80,27.0,42.23839786799999,
AnyRad_OtherBoneTumor_80,8.0,10.813485178,
ChemoOnly_ALL_80,1161.0,2359.0598471060043,
ChemoOnly_AML_80,183.0,258.1612631569999,
ChemoOnly_OtherLeukemia_80,36.0,52.95311473,
ChemoOnly_Astrocytoma_80,46.0,69.04111874199998,
ChemoOnly_Medulloblastoma_80,14.0,21.664422781,
ChemoOnly_Other CNS_80,8.0,12.839563973999999,
ChemoOnly_HL_80,115.0,170.62269693700003,
ChemoOnly_NHL_80,349.0,493.09803405300084,
ChemoOnly_Kidney_80,378.0,534.6036303360008,
ChemoOnly_NBL_80,211.0,297.2489127979998,
ChemoOnly_STS_80,127.0,185.410088646,
ChemoOnly_Ewings_80,75.0,108.49285355100002,
ChemoOnly_Osteosarcoma_80,346.0,498.3709019890001,
ChemoOnly_OtherBoneTumor_80,4.0,5.554822842,
SurgOnly_NoTrt_ALL_80,2.0,3.018464496,
SurgOnly_NoTrt_AML_80,1.0,1.860117713,
SurgOnly_NoTrt_OtherLeukemia_80,1.0,1.672517178,
SurgOnly_NoTrt_Astrocytoma_80,320.0,469.0350327060002,
SurgOnly_NoTrt_Medulloblastoma_80,2.0,3.77220606,
SurgOnly_NoTrt_Other CNS_80,50.0,73.08911041500001,
SurgOnly_NoTrt_HL_80,2.0,2.835591617,
SurgOnly_NoTrt_NHL_80,9.0,12.745764761,
SurgOnly_NoTrt_Kidney_80,10.0,13.936347193,
SurgOnly_NoTrt_NBL_80,198.0,282.6587830780001,
SurgOnly_NoTrt_STS_80,73.0,103.15889803200001,
SurgOnly_NoTrt_Ewings_80,0.0,0.0,
SurgOnly_NoTrt_Osteosarcoma_80,37.0,51.90439914399999,
SurgOnly_NoTrt_OtherBoneTumor_80,14.0,20.303940263,
AnyRad_ALL_90,483.0,1610.8233448610015,
AnyRad_AML_90,117.0,168.26322128999993,
AnyRad_OtherLeukemia_90,76.0,108.79804368999997,
AnyRad_Astrocytoma_90,353.0,533.3013841309998,
AnyRad_Medulloblastoma_90,469.0,726.0898760210015,
AnyRad_Other CNS_90,189.0,283.730254721,
AnyRad_HL_90,719.0,1025.5854126850008,
AnyRad_NHL_90,123.0,182.64003472499994,
AnyRad_Kidney_90,390.0,562.450848898,
AnyRad_NBL_90,222.0,346.8175443529998,
AnyRad_STS_90,266.0,397.5711628530001,
AnyRad_Ewings_90,133.0,206.82493515700006,
AnyRad_Osteosarcoma_90,15.0,25.749597767999997,
AnyRad_OtherBoneTumor_90,26.0,43.374466294,
ChemoOnly_ALL_90,1283.0,5516.898650363006,
ChemoOnly_AML_90,316.0,456.97623871200005,
ChemoOnly_OtherLeukemia_90,66.0,98.075418978,
ChemoOnly_Astrocytoma_90,215.0,327.83241351599986,
ChemoOnly_Medulloblastoma_90,44.0,70.648449727,
ChemoOnly_Other CNS_90,42.0,61.859031458000004,
ChemoOnly_HL_90,201.0,305.6689523220001,
ChemoOnly_NHL_90,641.0,938.991502615,
ChemoOnly_Kidney_90,388.0,567.5510935020002,
ChemoOnly_NBL_90,274.0,400.20802982199984,
ChemoOnly_STS_90,108.0,164.358983093,
ChemoOnly_Ewings_90,116.0,178.84444320899996,
ChemoOnly_Osteosarcoma_90,368.0,554.7997170850001,
ChemoOnly_OtherBoneTumor_90,17.0,25.125406159999997,
SurgOnly_NoTrt_ALL_90,1.0,4.644484791,
SurgOnly_NoTrt_AML_90,4.0,6.249927769,
SurgOnly_NoTrt_OtherLeukemia_90,1.0,1.298899193,
SurgOnly_NoTrt_Astrocytoma_90,619.0,916.6443413360009,
SurgOnly_NoTrt_Medulloblastoma_90,4.0,5.989820046999999,
SurgOnly_NoTrt_Other CNS_90,150.0,219.7516618659999,
SurgOnly_NoTrt_HL_90,3.0,6.477839167,
SurgOnly_NoTrt_NHL_90,4.0,5.763166343,
SurgOnly_NoTrt_Kidney_90,18.0,26.954341445,
SurgOnly_NoTrt_NBL_90,283.0,421.64044650799997,
SurgOnly_NoTrt_STS_90,0.0,0.0,
SurgOnly_NoTrt_Ewings_90,0.0,0.0,
SurgOnly_NoTrt_Osteosarcoma_90,19.0,27.469723367000004,
SurgOnly_NoTrt_OtherBoneTumor_90,3.0,4.38630089,
AnyRad_brain_70,414.0,668.4064576110002,
AnyRad_bone_70,202.0,311.49196021800003,
AnyRad_sts_70,353.0,547.3178413740006,
AnyRad_solid_70,533.0,793.2199349919988,
AnyRad_leuk_70,1353.0,1969.2573273709968,
AnyRad_lymp_70,1186.0,1809.3317006299992,
ChemoOnly_brain_70,5.0,10.770513969,
ChemoOnly_bone_70,237.0,350.64602858400025,
ChemoOnly_sts_70,108.0,166.45948000599998,
ChemoOnly_solid_70,172.0,255.66765205900037,
ChemoOnly_leuk_70,329.0,505.7856937580004,
ChemoOnly_lymp_70,123.0,184.82124757100001,
SurgOnly_NoTrt_brain_70,142.0,218.70336425799994,
SurgOnly_NoTrt_bone_70,46.0,68.902812636,
SurgOnly_NoTrt_sts_70,97.0,145.65047043299998,
SurgOnly_NoTrt_solid_70,75.0,109.314358474,
SurgOnly_NoTrt_leuk_70,6.0,9.504925889,
SurgOnly_NoTrt_lymp_70,7.0,10.752112610000001,
AnyRad_brain_80,912.0,1376.5433130540025,
AnyRad_bone_80,209.0,304.787854342,
AnyRad_sts_80,393.0,570.5959878760001,
AnyRad_solid_80,564.0,795.5463673469981,
AnyRad_leuk_80,1550.0,2633.6562675419977,
AnyRad_lymp_80,1153.0,1642.769755285001,
ChemoOnly_brain_80,67.0,101.19278330099999,
ChemoOnly_bone_80,425.0,612.4185783819997,
ChemoOnly_sts_80,127.0,185.410088646,
ChemoOnly_solid_80,587.0,829.3610059679991,
ChemoOnly_leuk_80,1379.0,2668.2450276089985,
ChemoOnly_lymp_80,463.0,661.9618356940003,
SurgOnly_NoTrt_brain_80,370.0,542.2870932509999,
SurgOnly_NoTrt_bone_80,51.0,72.208339407,
SurgOnly_NoTrt_sts_80,73.0,103.15889803200001,
SurgOnly_NoTrt_solid_80,208.0,296.595130271,
SurgOnly_NoTrt_leuk_80,4.0,6.551099387000001,
SurgOnly_NoTrt_lymp_80,11.0,15.581356378,
AnyRad_brain_90,1009.0,1539.6217129189972,
AnyRad_bone_90,173.0,275.12196892399993,
AnyRad_sts_90,266.0,397.5711628530001,
AnyRad_solid_90,611.0,907.9000887190008,
AnyRad_leuk_90,675.0,1886.5401296599991,
AnyRad_lymp_90,840.0,1206.186729611001,
ChemoOnly_brain_90,298.0,455.5400714140001,
ChemoOnly_bone_90,501.0,758.7695664539998,
ChemoOnly_sts_90,108.0,164.358983093,
ChemoOnly_solid_90,662.0,967.3169510919996,
ChemoOnly_leuk_90,1664.0,6069.431701148019,
ChemoOnly_lymp_90,841.0,1243.6826977429998,
SurgOnly_NoTrt_brain_90,772.0,1140.7713074800024,
SurgOnly_NoTrt_bone_90,22.0,31.856024257000005,
SurgOnly_NoTrt_sts_90,0.0,0.0,
SurgOnly_NoTrt_solid_90,301.0,448.59478795300004,
SurgOnly_NoTrt_leuk_90,6.0,12.193311753,
SurgOnly_NoTrt_lymp_90,7.0,11.932814904,
NoRad_ALL_70,248.0,385.2717584870003,
NoRad_AML_70,62.0,89.35222799799999,
NoRad_OtherLeukemia_70,25.0,40.615567471,
NoRad_Astrocytoma_70,124.0,192.425057069,
NoRad_Medulloblastoma_70,3.0,4.812007908,
NoRad_Other CNS_70,21.0,33.66762980400001,
NoRad_HL_70,51.0,73.64511140800003,
NoRad_NHL_70,78.0,120.18189691200001,
NoRad_Kidney_70,102.0,152.3082774680001,
NoRad_NBL_70,143.0,209.49982044400022,
NoRad_STS_70,203.0,309.5819875040001,
NoRad_Ewings_70,22.0,34.743782059999994,
NoRad_Osteosarcoma_70,245.0,361.1949023380004,
NoRad_OtherBoneTumor_70,15.0,22.174245342000003,
Rad_ALL_70,1266.0,1839.2391957969962,
Rad_AML_70,52.0,75.97811326300001,
Rad_OtherLeukemia_70,36.0,55.533591809000015,
Rad_Astrocytoma_70,259.0,417.65651346299967,
Rad_Medulloblastoma_70,99.0,162.99566326200002,
Rad_Other CNS_70,57.0,89.00874906700001,
Rad_HL_70,866.0,1332.1719575169968,
Rad_NHL_70,320.0,477.15974311300073,
Rad_Kidney_70,318.0,474.1622107860001,
Rad_NBL_70,215.0,319.05772420599976,
Rad_STS_70,353.0,547.3178413740006,
Rad_Ewings_70,145.0,222.39548024599995,
Rad_Osteosarcoma_70,53.0,83.34187447099998,
Rad_OtherBoneTumor_70,4.0,5.754605501,
NoRad_ALL_80,1162.0,2360.6593298440043,
NoRad_AML_80,184.0,260.02138086999986,
NoRad_OtherLeukemia_80,37.0,54.625631908,
NoRad_Astrocytoma_80,364.0,534.9805673819999,
NoRad_Medulloblastoma_80,15.0,23.084306644999998,
NoRad_Other CNS_80,58.0,85.92867438900002,
NoRad_HL_80,116.0,172.09984457200002,
NoRad_NHL_80,358.0,505.8437988140009,
NoRad_Kidney_80,388.0,548.5399775290008,
NoRad_NBL_80,407.0,576.0654288479992,
NoRad_STS_80,199.0,286.96306746000005,
NoRad_Ewings_80,75.0,108.49285355100002,
NoRad_Osteosarcoma_80,382.0,548.672292576,
NoRad_OtherBoneTumor_80,18.0,25.858763104999994,
Rad_ALL_80,1360.0,2358.591744353,
Rad_AML_80,132.0,182.164591661,
Rad_OtherLeukemia_80,60.0,96.81267371799994,
Rad_Astrocytoma_80,462.0,702.0691960639995,
Rad_Medulloblastoma_80,294.0,444.66514668800005,
Rad_Other CNS_80,157.0,231.22371435700003,
Rad_HL_80,807.0,1147.691922063001,
Rad_NHL_80,346.0,495.191023802001,
Rad_Kidney_80,388.0,543.3346212680005,
Rad_NBL_80,177.0,253.8296080180003,
Rad_STS_80,393.0,570.5959878760001,
Rad_Ewings_80,174.0,251.73597129600014,
Rad_Osteosarcoma_80,27.0,42.23839786799999,
Rad_OtherBoneTumor_80,8.0,10.813485178,
NoRad_ALL_90,1284.0,5521.543135154006,
NoRad_AML_90,320.0,463.22616648100006,
NoRad_OtherLeukemia_90,67.0,99.374318171,
NoRad_Astrocytoma_90,831.0,1239.9616904400027,
NoRad_Medulloblastoma_90,48.0,76.638269774,
NoRad_Other CNS_90,191.0,280.04524674899994,
NoRad_HL_90,203.0,311.00248352200003,
NoRad_NHL_90,644.0,943.1173853829999,
NoRad_Kidney_90,406.0,594.5054349470001,
NoRad_NBL_90,555.0,818.3342142739998,
NoRad_STS_90,108.0,164.358983093,
NoRad_Ewings_90,116.0,178.84444320899996,
NoRad_Osteosarcoma_90,387.0,582.2694404520004,
NoRad_OtherBoneTumor_90,20.0,29.51170705,
Rad_ALL_90,483.0,1610.8233448610015,
Rad_AML_90,117.0,168.26322128999993,
Rad_OtherLeukemia_90,76.0,108.79804368999997,
Rad_Astrocytoma_90,353.0,533.3013841309998,
Rad_Medulloblastoma_90,469.0,726.0898760210015,
Rad_Other CNS_90,189.0,283.730254721,
Rad_HL_90,719.0,1025.5854126850008,
Rad_NHL_90,123.0,182.64003472499994,
Rad_Kidney_90,390.0,562.450848898,
Rad_NBL_90,222.0,346.8175443529998,
Rad_STS_90,266.0,397.5711628530001,
Rad_Ewings_90,133.0,206.82493515700006,
Rad_Osteosarcoma_90,15.0,25.749597767999997,
Rad_OtherBoneTumor_90,26.0,43.374466294,
NoRad_brain_70,147.0,229.47387822699991,
NoRad_bone_70,281.0,416.29862920400063,
NoRad_sts_70,203.0,309.5819875040001,
NoRad_solid_70,245.0,361.80809791200016,
NoRad_leuk_70,334.0,513.7270938590004,
NoRad_lymp_70,129.0,193.75495667499996,
Rad_brain_70,414.0,668.4064576110002,
Rad_bone_70,202.0,311.49196021800003,
Rad_sts_70,353.0,547.3178413740006,
Rad_solid_70,533.0,793.2199349919988,
Rad_leuk_70,1353.0,1969.2573273709968,
Rad_lymp_70,1186.0,1809.3317006299992,
NoRad_brain_80,435.0,640.6860443069996,
NoRad_bone_80,475.0,683.0239092320003,
